County,FIPS,New_cases_ma7,casesPer100k,census2010pop
"DeSoto, Mississippi, US",28033,52.142857143,32.3,"161,252"
"Lake, Florida, US",12069,96,32.3,"297,052"
"Robeson, North Carolina, US",37155,42.857142857,31.9,"134,168"
"Polk, Iowa, US",19153,137.14285714,31.8,"430,640"
"Mohave, Arizona, US",04015,63,31.5,"200,186"
"Benton, Washington, US",53005,55,31.4,"175,177"
"Pima, Arizona, US",04019,306.57142857,31.3,"980,263"
"Coconino, Arizona, US",04005,41.857142857,31.1,"134,421"
"Jasper,Missouri,US",29097,36.285714286,30.9,"117,404"
"Wilson, Tennessee, US",47189,35.142857143,30.8,"113,993"
"Harris, Texas, US",48201,1253,30.6,"4,092,459"
"Benton, Arkansas, US",05007,67.142857143,30.3,"221,339"
"Fulton, Georgia, US",13121,277.57142857,30.2,"920,581"
"Seminole, Florida, US",12117,127.14285714,30.1,"422,718"
"Sumter, South Carolina, US",45085,32.285714286,30.0,"107,456"
"Alachua, Florida, US",12001,74.285714286,30.0,"247,336"
"Okaloosa, Florida, US",12091,54.142857143,29.9,"180,822"
"Madera, California, US",06039,45,29.8,"150,865"
"Shelby, Alabama, US",01117,58.142857143,29.8,"195,085"
"Sumner, Tennessee, US",47165,47.857142857,29.8,"160,645"
"Lexington, South Carolina, US",45063,78.142857143,29.8,"262,391"
"Kootenai, Idaho, US",16055,41.142857143,29.7,"138,494"
"Tuscaloosa, Alabama, US",01125,57.428571429,29.5,"194,656"
"Kaufman, Texas, US",48257,30.428571429,29.4,"103,350"
"Gwinnett, Georgia, US",13135,237,29.4,"805,321"
"San Bernardino, California, US",06071,588.71428571,28.9,"2,035,210"
"Hinds, Mississippi, US",28049,70.571428571,28.8,"245,285"
"Salt Lake, Utah, US",49035,295.57142857,28.7,"1,029,655"
"Spartanburg, South Carolina, US",45083,81.142857143,28.5,"284,307"
"Leon, Florida, US",12073,78.571428571,28.5,"275,487"
"Mobile, Alabama, US",01097,117.71428571,28.5,"412,992"
"Morgan, Alabama, US",01103,33.714285714,28.2,"119,490"
"Cochise, Arizona, US",04003,36.857142857,28.1,"131,346"
"Norfolk, Virginia, US",51710,68,28.0,"242,803"
"DeKalb, Georgia, US",13089,192.57142857,27.8,"691,893"
"Johnston, North Carolina, US",37101,47,27.8,"168,878"
"Taylor, Texas, US",48441,36.571428571,27.8,"131,506"
"Richland, South Carolina, US",45079,106.85714286,27.8,"384,504"
"Shelby, Tennessee, US",47157,257.28571429,27.7,"927,644"
"Clarke, Georgia, US",13059,32.142857143,27.5,"116,714"
"Los Angeles, California, US",06037,2646.4285714,27.0,"9,818,605"
"Cobb, Georgia, US",13067,184.42857143,26.8,"688,078"
"Bartow, Georgia, US",13015,26.571428571,26.5,"100,157"
"Kings, California, US",06031,40.571428571,26.5,"152,982"
"Hernando, Florida, US",12053,45.714285714,26.5,"172,778"
"Carroll, Georgia, US",13045,29.142857143,26.4,"110,527"
"Sebastian, Arkansas, US",05131,33.142857143,26.4,"125,744"
"Oklahoma, Oklahoma, US",40109,189,26.3,"718,633"
"Union, North Carolina, US",37179,52.714285714,26.2,"201,292"
"Indian River, Florida, US",12061,36.142857143,26.2,"138,028"
"Montgomery, Alabama, US",01101,60,26.2,"229,363"
"Columbia, Georgia, US",13073,32.142857143,25.9,"124,053"
"Parker, Texas, US",48367,30.285714286,25.9,"116,927"
"Bell, Texas, US",48027,80,25.8,"310,235"
"Clayton, Georgia, US",13063,66.714285714,25.7,"259,424"
"Milwaukee, Wisconsin, US",55079,242.14285714,25.5,"947,735"
"York, South Carolina, US",45091,57.428571429,25.4,"226,073"
"Black Hawk, Iowa, US",19013,33.142857143,25.3,"131,090"
"Tulsa, Oklahoma, US",40143,152,25.2,"603,403"
"Houston, Georgia, US",13153,35,25.0,"139,900"
"Hamilton, Tennessee, US",47065,83.285714286,24.8,"336,463"
"Florence, South Carolina, US",45041,33.857142857,24.7,"136,885"
"Scott, Iowa, US",19163,40.857142857,24.7,"165,224"
"Durham, North Carolina, US",37063,65.714285714,24.6,"267,587"
"Henderson, North Carolina, US",37089,26,24.4,"106,740"
"Marion, Florida, US",12083,80.285714286,24.2,"331,298"
"Pickens, South Carolina, US",45077,28.857142857,24.2,"119,224"
"Elkhart, Indiana, US",18039,47.571428571,24.1,"197,559"
"Cabarrus, North Carolina, US",37025,42.428571429,23.8,"178,011"
"Richmond, Georgia, US",13245,47.428571429,23.6,"200,549"
"New Hanover, North Carolina, US",37129,47.571428571,23.5,"202,667"
"Wake, North Carolina, US",37183,209.57142857,23.3,"900,993"
"Orleans, Louisiana, US",22071,79.714285714,23.2,"343,829"
"Henry, Georgia, US",13151,46.285714286,22.7,"203,922"
"Santa Barbara, California, US",06083,95.714285714,22.6,"423,895"
"Utah, Utah, US",49049,116.57142857,22.6,"516,564"
"Faulkner, Arkansas, US",05045,25.428571429,22.5,"113,237"
"Catawba, North Carolina, US",37035,34.571428571,22.4,"154,358"
"Brevard, Florida, US",12009,121.14285714,22.3,"543,376"
"Johnson, Texas, US",48251,33.571428571,22.2,"150,934"
"Yellowstone, Montana, US",30111,32.571428571,22.0,"147,972"
"Franklin, Ohio, US",39049,252,21.7,"1,163,414"
"Lee, Alabama, US",01081,30.285714286,21.6,"140,247"
"Kern, California, US",06029,179.57142857,21.4,"839,631"
"Monterey, California, US",06053,88.285714286,21.3,"415,057"
"Guadalupe, Texas, US",48187,27.857142857,21.2,"131,533"
"Douglas, Kansas, US",20045,23.428571429,21.1,"110,826"
"Solano, California, US",06095,85.571428571,20.7,"413,344"
"Montgomery, Texas, US",48339,93.428571429,20.5,"455,746"
"Johnson, Iowa, US",19103,26.714285714,20.4,"130,882"
"Canadian, Oklahoma, US",40017,23.571428571,20.4,"115,541"
"Harrison, Mississippi, US",28047,37.857142857,20.2,"187,105"
"Johnson, Kansas, US",20091,108.85714286,20.0,"544,179"
"Davis, Utah, US",49011,60.571428571,19.8,"306,479"
"Rowan, North Carolina, US",37159,27.142857143,19.6,"138,428"
"Vanderburgh, Indiana, US",18163,35.142857143,19.6,"179,703"
"Iredell, North Carolina, US",37097,31.142857143,19.5,"159,437"
"Cherokee, Georgia, US",13057,41.857142857,19.5,"214,346"
"Shawnee, Kansas, US",20177,34.714285714,19.5,"177,934"
"Calhoun, Alabama, US",01015,23,19.4,"118,572"
"Rankin, Mississippi, US",28121,27.428571429,19.4,"141,617"
"Collin, Texas, US",48085,150,19.2,"782,341"
"Pulaski, Arkansas, US",05119,73.285714286,19.1,"382,748"
"Dona Ana, New Mexico, US",35013,39.428571429,18.8,"209,233"
"Warren, Kentucky, US",21227,21.428571429,18.8,"113,792"
"New York City, New York, US",36061,297.42857143,18.8,"1,585,873"
"Anderson, South Carolina, US",45007,34.857142857,18.6,"187,126"
"Montgomery, Tennessee, US",47125,32,18.6,"172,331"
"San Juan, New Mexico, US",35045,24.142857143,18.6,"130,044"
"Hamilton, Ohio, US",39061,146.57142857,18.3,"802,374"
"Scott, Minnesota, US",27139,23.714285714,18.3,"129,928"
"Randolph, North Carolina, US",37151,25.714285714,18.1,"141,752"
"Jackson, Mississippi, US",28059,25.142857143,18.0,"139,668"
"Brunswick, North Carolina, US",37019,19.285714286,18.0,"107,431"
"Wichita, Texas, US",48485,23.571428571,17.9,"131,500"
"Dane, Wisconsin, US",55025,87,17.8,"488,073"
"Paulding, Georgia, US",13223,25,17.6,"142,324"
"Ventura, California, US",06111,143.71428571,17.5,"823,318"
"Charlotte, Florida, US",12015,27.857142857,17.4,"159,978"
"Citrus, Florida, US",12017,24,17.0,"141,236"
"Aiken, South Carolina, US",45003,27.142857143,17.0,"160,099"
"Forsyth, Georgia, US",13117,29.142857143,16.6,"175,511"
"Cuyahoga, Ohio, US",39035,212,16.6,"1,280,122"
"Allegheny, Pennsylvania, US",42003,200.71428571,16.4,"1,223,348"
"St. Louis City, Missouri, US",29510,51.285714286,16.1,"319,294"
"Orange, North Carolina, US",37135,21.142857143,15.8,"133,801"
"Saline, Arkansas, US",05125,16.857142857,15.7,"107,118"
"Douglas, Nebraska, US",31055,81.142857143,15.7,"517,110"
"Forsyth, North Carolina, US",37067,55,15.7,"350,670"
"Fayette, Kentucky, US",21067,46.285714286,15.6,"295,803"
"Houston, Alabama, US",01069,15.857142857,15.6,"101,547"
"Kankakee, Illinois, US",17091,17.714285714,15.6,"113,449"
"Rock Island, Illinois, US",17161,23,15.6,"147,546"
"Fort Bend, Texas, US",48157,91.142857143,15.6,"585,375"
"Stearns, Minnesota, US",27145,23.142857143,15.4,"150,642"
"Virginia Beach, Virginia, US",51810,67.285714286,15.4,"437,994"
"Hennepin, Minnesota, US",27053,177,15.4,"1,152,425"
"Davidson, North Carolina, US",37057,25,15.3,"162,878"
"Chesapeake, Virginia, US",51550,34,15.3,"222,209"
"St. Clair, Illinois, US",17163,41,15.2,"270,056"
"Olmsted, Minnesota, US",27109,21.714285714,15.1,"144,248"
"Randall, Texas, US",48381,18.142857143,15.0,"120,725"
"Guilford, North Carolina, US",37081,72.857142857,14.9,"488,406"
"Cleveland, Oklahoma, US",40027,38.142857143,14.9,"255,755"
"Knox, Tennessee, US",47093,64.142857143,14.8,"432,226"
"Yolo, California, US",06113,29.571428571,14.7,"200,849"
"Woodbury, Iowa, US",19193,15,14.7,"102,172"
"Alamance, North Carolina, US",37001,22,14.6,"151,131"
"Lake, Indiana, US",18089,72,14.5,"496,005"
"Montgomery, Ohio, US",39113,76,14.2,"535,153"
"Denton, Texas, US",48121,94,14.2,"662,614"
"Spokane, Washington, US",53063,65.857142857,14.0,"471,221"
"Kent, Michigan, US",26081,83.571428571,13.9,"602,622"
"Washoe, Nevada, US",32031,58.428571429,13.9,"421,407"
"Sedgwick, Kansas, US",20173,69,13.8,"498,365"
"Sussex, Delaware, US",10005,27.142857143,13.8,"197,145"
"Dakota, Minnesota, US",27037,54.714285714,13.7,"398,552"
"Baltimore City, Maryland, US",24510,84.571428571,13.6,"620,961"
"Contra Costa, California, US",06013,142.71428571,13.6,"1,049,025"
"Lancaster, Nebraska, US",31109,38.285714286,13.4,"285,407"
"Fayette, Georgia, US",13113,14.285714286,13.4,"106,567"
"Boone, Missouri, US",29019,21.714285714,13.4,"162,642"
"Boone, Kentucky, US",21015,15.857142857,13.3,"118,811"
"Denver, Colorado, US",08031,79.714285714,13.3,"600,158"
"San Francisco, California, US",06075,106.57142857,13.2,"805,235"
"St. Louis, Missouri, US",29189,131.71428571,13.2,"998,954"
"Yavapai, Arizona, US",04025,27.714285714,13.1,"211,033"
"Potter, Texas, US",48375,15.857142857,13.1,"121,073"
"Bernalillo, New Mexico, US",35001,86.428571429,13.0,"662,564"
"Blount, Tennessee, US",47009,16,13.0,"123,010"
"Fairfield, Ohio, US",39045,19,13.0,"146,156"
"Delaware, Ohio, US",39041,22.285714286,12.8,"174,214"
"Adams, Colorado, US",08001,56.428571429,12.8,"441,603"
"Kenosha, Wisconsin, US",55059,21.142857143,12.7,"166,426"
"Rock, Wisconsin, US",55105,20.285714286,12.7,"160,331"
"Sacramento, California, US",06067,179,12.6,"1,418,788"
"Coweta, Georgia, US",13077,15.857142857,12.5,"127,317"
"Cass, North Dakota, US",38017,18.571428571,12.4,"149,778"
"Hampton, Virginia, US",51650,17,12.4,"137,436"
"San Diego, California, US",06073,377.85714286,12.2,"3,095,313"
"Grayson, Texas, US",48181,14.714285714,12.2,"120,877"
"Brown, Wisconsin, US",55009,30,12.1,"248,007"
"Pitt, North Carolina, US",37147,20.285714286,12.1,"168,148"
"Washington, Minnesota, US",27163,28.714285714,12.1,"238,136"
"Hardin, Kentucky, US",21093,12.714285714,12.0,"105,543"
"Prince George's, Maryland, US",24033,102.14285714,11.8,"863,420"
"Cumberland, North Carolina, US",37051,36.857142857,11.5,"319,431"
"Warren, Ohio, US",39165,24.285714286,11.4,"212,693"
"Buncombe, North Carolina, US",37021,27.142857143,11.4,"238,318"
"Washington, Tennessee, US",47179,13.857142857,11.3,"122,979"
"Ramsey, Minnesota, US",27123,57.285714286,11.3,"508,640"
"Butler, Ohio, US",39017,41,11.1,"368,130"
"Waukesha, Wisconsin, US",55133,43,11.0,"389,891"
"St. Joseph, Indiana, US",18141,29.285714286,11.0,"266,931"
"Columbiana, Ohio, US",39029,11.714285714,10.9,"107,841"
"Wayne, North Carolina, US",37191,13.285714286,10.8,"122,623"
"San Luis Obispo, California, US",06079,29.142857143,10.8,"269,637"
"Harnett, North Carolina, US",37085,12.285714286,10.7,"114,678"
"Fond du Lac, Wisconsin, US",55039,10.857142857,10.7,"101,633"
"Newport News, Virginia, US",51700,19.285714286,10.7,"180,719"
"Pennington, South Dakota, US",46103,10.714285714,10.6,"100,948"
"Napa, California, US",06055,14.428571429,10.6,"136,484"
"Washington, Pennsylvania, US",42125,21.714285714,10.4,"207,820"
"El Paso, Colorado, US",08041,64.428571429,10.4,"622,263"
"Jefferson, Kentucky, US",21111,75.285714286,10.2,"741,096"
"Sonoma, California, US",06097,49.142857143,10.2,"483,878"
"Sarpy, Nebraska, US",31153,15.857142857,10.0,"158,840"
"Porter, Indiana, US",18127,16,9.7,"164,343"
"Richmond City, Virginia, US",51760,19.857142857,9.7,"204,214"
"Anoka, Minnesota, US",27003,31.714285714,9.6,"330,844"
"New Castle, Delaware, US",10003,51.571428571,9.6,"538,479"
"Marion, Oregon, US",41047,30.142857143,9.6,"315,335"
"Sullivan, Tennessee, US",47163,14.857142857,9.5,"156,823"
"Outagamie, Wisconsin, US",55087,16.285714286,9.2,"176,695"
"Lucas, Ohio, US",39095,40.571428571,9.2,"441,815"
"Loudoun, Virginia, US",51107,28.571428571,9.1,"312,311"
"Licking, Ohio, US",39089,15.142857143,9.1,"166,492"
"Baltimore, Maryland, US",24005,73.142857143,9.1,"805,029"
"Walworth, Wisconsin, US",55127,9.2857142857,9.1,"102,228"
"Ottawa, Michigan, US",26139,23.714285714,9.0,"263,801"
"Kent, Delaware, US",10001,14.571428571,9.0,"162,310"
"Racine, Wisconsin, US",55101,17.428571429,8.9,"195,408"
"La Crosse, Wisconsin, US",55063,10.142857143,8.8,"114,638"
"Montgomery, Maryland, US",24031,85.428571429,8.8,"971,777"
"Franklin, Missouri, US",29071,8.8571428571,8.7,"101,492"
"DeKalb, Illinois, US",17037,9.1428571429,8.7,"105,160"
"St. Charles, Missouri, US",29183,31.285714286,8.7,"360,485"
"District of Columbia,District of Columbia,US",11001,52.142857143,8.7,"601,723"
"Howard, Maryland, US",24027,24.857142857,8.7,"287,085"
"Bonneville, Idaho, US",16019,9,8.6,"104,234"
"Lake, Illinois, US",17097,60.571428571,8.6,"703,462"
"Madison, Illinois, US",17119,23.142857143,8.6,"269,282"
"Butte, California, US",06007,18.857142857,8.6,"220,000"
"Prince William, Virginia, US",51153,34.142857143,8.5,"402,002"
"Wright, Minnesota, US",27171,10.571428571,8.5,"124,700"
"Peoria, Illinois, US",17143,15.714285714,8.4,"186,494"
"Greene, Ohio, US",39057,13.571428571,8.4,"161,573"
"Beaver, Pennsylvania, US",42007,14.285714286,8.4,"170,539"
"Cowlitz, Washington, US",53015,8.5714285714,8.4,"102,410"
"Sandoval, New Mexico, US",35043,11,8.4,"131,561"
"Kendall, Illinois, US",17093,9.5714285714,8.3,"114,736"
"Henrico, Virginia, US",51087,25.571428571,8.3,"306,935"
"Cook, Illinois, US",17031,432.14285714,8.3,"5,194,675"
"Wood, Ohio, US",39173,10.428571429,8.3,"125,488"
"Alameda, California, US",06001,125.14285714,8.3,"1,510,271"
"Onslow, North Carolina, US",37133,14.714285714,8.3,"177,772"
"Linn, Iowa, US",19113,17.428571429,8.3,"211,226"
"Santa Clara, California, US",06085,146.42857143,8.2,"1,781,642"
"San Mateo, California, US",06081,59,8.2,"718,451"
"Placer, California, US",06061,28.571428571,8.2,"348,432"
"Hamilton, Indiana, US",18057,22.285714286,8.1,"274,569"
"Alexandria, Virginia, US",51510,11.285714286,8.1,"139,966"
"York, Pennsylvania, US",42133,34.428571429,7.9,"434,972"
"Chesterfield, Virginia, US",51041,24.857142857,7.9,"316,236"
"Minnehaha, South Dakota, US",46099,13.285714286,7.8,"169,468"
"Charles, Maryland, US",24017,11.428571429,7.8,"146,551"
"Clark, Indiana, US",18019,8.5714285714,7.8,"110,232"
"Multnomah, Oregon, US",41051,57.142857143,7.8,"735,334"
"Trumbull, Ohio, US",39155,16.285714286,7.7,"210,312"
"Anchorage,Alaska,US",02020,22.571428571,7.7,"291,826"
"Allen, Indiana, US",18003,27.142857143,7.6,"355,329"
"Westmoreland, Pennsylvania, US",42129,27.571428571,7.6,"365,169"
"Philadelphia, Pennsylvania, US",42101,114.57142857,7.5,"1,526,006"
"Will, Illinois, US",17197,50.714285714,7.5,"677,560"
"Douglas, Colorado, US",08035,21.142857143,7.4,"285,465"
"Mahoning, Ohio, US",39099,17.571428571,7.4,"238,823"
"Arapahoe, Colorado, US",08005,41.857142857,7.3,"572,003"
"Berkeley, West Virginia, US",54003,7.5714285714,7.3,"104,169"
"Marathon, Wisconsin, US",55073,9.7142857143,7.2,"134,063"
"Weld, Colorado, US",08123,18.285714286,7.2,"252,825"
"Berrien, Michigan, US",26021,11.285714286,7.2,"156,813"
"Sheboygan, Wisconsin, US",55117,8.2857142857,7.2,"115,507"
"Marion, Indiana, US",18097,64.285714286,7.1,"903,393"
"Kalamazoo, Michigan, US",26077,17.714285714,7.1,"250,331"
"Washington, Oregon, US",41067,37.285714286,7.0,"529,710"
"Clermont, Ohio, US",39025,13.857142857,7.0,"197,363"
"Lancaster, Pennsylvania, US",42071,36.428571429,7.0,"519,445"
"McHenry, Illinois, US",17111,21.571428571,7.0,"308,760"
"Kane, Illinois, US",17089,35.857142857,7.0,"515,269"
"Lake, Ohio, US",39085,16,7.0,"230,041"
"Santa Fe, New Mexico, US",35049,10,6.9,"144,170"
"Johnson, Indiana, US",18081,9.5714285714,6.9,"139,654"
"Allen, Ohio, US",39003,7.2857142857,6.9,"106,331"
"Pierce, Washington, US",53053,54.428571429,6.8,"795,225"
"Skagit, Washington, US",53057,8,6.8,"116,901"
"Anne Arundel, Maryland, US",24003,36.142857143,6.7,"537,656"
"Miami, Ohio, US",39109,6.7142857143,6.6,"102,506"
"King, Washington, US",53033,126.28571429,6.5,"1,931,249"
"Champaign, Illinois, US",17019,13.142857143,6.5,"201,081"
"Washington, Wisconsin, US",55131,8.5714285714,6.5,"131,887"
"Craven, North Carolina, US",37049,6.7142857143,6.5,"103,505"
"Kenton, Kentucky, US",21117,10.285714286,6.4,"159,720"
"Washtenaw, Michigan, US",26161,22.142857143,6.4,"344,791"
"LaPorte, Indiana, US",18091,7.1428571429,6.4,"111,467"
"El Dorado, California, US",06017,11.571428571,6.4,"181,058"
"Wayne, Michigan, US",26163,116.28571429,6.4,"1,820,584"
"Jefferson, Colorado, US",08059,34,6.4,"534,543"
"DuPage, Illinois, US",17043,58.285714286,6.4,"916,924"
"Suffolk, Massachusetts, US",25025,45.142857143,6.3,"722,023"
"St. Mary's, Maryland, US",24037,6.5714285714,6.2,"105,151"
"Lorain, Ohio, US",39093,18.714285714,6.2,"301,356"
"Lebanon, Pennsylvania, US",42075,8.2857142857,6.2,"133,568"
"Adams, Pennsylvania, US",42001,6.2857142857,6.2,"101,407"
"Hendricks, Indiana, US",18063,9,6.2,"145,448"
"Santa Cruz, California, US",06087,16,6.1,"262,382"
"Medina, Ohio, US",39103,10.428571429,6.1,"172,332"
"Camden, New Jersey, US",34007,30.428571429,5.9,"513,657"
"Comanche, Oklahoma, US",40031,7.2857142857,5.9,"124,098"
"Sangamon, Illinois, US",17167,11.571428571,5.9,"197,465"
"Fayette, Pennsylvania, US",42051,8,5.9,"136,606"
"Butler, Pennsylvania, US",42019,10.714285714,5.8,"183,862"
"Summit, Ohio, US",39153,31.428571429,5.8,"541,781"
"Harford, Maryland, US",24025,14.142857143,5.8,"244,826"
"Kanawha, West Virginia, US",54039,11.142857143,5.8,"193,063"
"Muskegon, Michigan, US",26121,9.8571428571,5.7,"172,188"
"Arlington, Virginia, US",51013,11.714285714,5.6,"207,627"
"Gloucester, New Jersey, US",34015,16.142857143,5.6,"288,288"
"Monroe, Indiana, US",18105,7.7142857143,5.6,"137,974"
"Greene, Missouri, US",29077,15.285714286,5.6,"275,174"
"Oakland, Michigan, US",26125,66.714285714,5.5,"1,202,362"
"Portage, Ohio, US",39133,8.8571428571,5.5,"161,419"
"Delaware, Pennsylvania, US",42045,30.571428571,5.5,"558,979"
"Jackson, Missouri, US",29095,36.714285714,5.4,"674,158"
"Larimer, Colorado, US",08069,16.285714286,5.4,"299,630"
"Stafford, Virginia, US",51179,7,5.4,"128,961"
"Snohomish, Washington, US",53061,38.571428571,5.4,"713,335"
"Clackamas, Oregon, US",41005,20.285714286,5.4,"375,992"
"Spotsylvania, Virginia, US",51177,6.5714285714,5.4,"122,397"
"Onondaga, New York, US",36067,25,5.4,"467,026"
"Tippecanoe, Indiana, US",18157,9.1428571429,5.3,"172,780"
"Jefferson, Missouri, US",29099,11.571428571,5.3,"218,733"
"Clark, Ohio, US",39023,7.2857142857,5.3,"138,333"
"Saginaw, Michigan, US",26145,10.428571429,5.2,"200,169"
"Chester, Pennsylvania, US",42029,25.857142857,5.2,"498,886"
"Calhoun, Michigan, US",26025,7,5.1,"136,146"
"Winnebago, Wisconsin, US",55139,8.5714285714,5.1,"166,994"
"Allegan, Michigan, US",26005,5.7142857143,5.1,"111,408"
